location,mse,r2,high_case
Andhra Pradesh,1452676.0920911771,-0.712337670527974,True
Gujarat,621055.0914090002,-0.05488835396064573,False
Karnataka,501720.21774933336,-0.8990321831134096,False
Kerala,956767.2287778348,-0.20991347897770152,True
Madhya Pradesh,650396.5157474852,-0.09827592903229365,False
Maharashtra,526505.3277590045,-0.017124950283204043,True
Rajasthan,714137.0838262228,-0.4923809362107474,False
Tamil Nadu,628329.8601315761,-0.10978359959446249,False
Uttar Pradesh,668451.5275524015,-0.12387219200287869,True
West Bengal,613752.7887639931,-0.0038707770732580027,True
